"word","stateWD","lifespan","nsense","nchange","freqBand"
"ambuscado_v","non-obsolete words",386,3,5,1
"ambush_v","non-obsolete words",724,5,6,5
"ameliorate_v","non-obsolete words",371,3,3,5
"amen_v","non-obsolete words",212,3,4,2
"amend_v","non-obsolete words",799,20,26,6
"amenitize_v","non-obsolete words",98,1,1,2
"amerce_v","non-obsolete words",635,5,6,3
"amerciate_v","non-obsolete words",564,1,1,1
"americanize_v","non-obsolete words",338,5,6,4
"ammonify_v","non-obsolete words",113,1,1,2
"ammunition_v","non-obsolete words",381,1,1,3
"amnesty_v","non-obsolete words",222,1,1,3
"amok_v","non-obsolete words",213,1,1,1
"amorphize_v","non-obsolete words",192,1,1,3
"amortize_v","non-obsolete words",629,5,6,4
"amount_v","non-obsolete words",749,14,22,6
"amove_v2","non-obsolete words",599,2,3,3
"amp_v1","non-obsolete words",58,2,2,4
"amp_v2","non-obsolete words",32,1,1,3
"amphibolitize_v","non-obsolete words",63,1,1,1
"amphibolize_v","non-obsolete words",170,1,1,0
"amphitheatre_v","non-obsolete words",203,1,1,3
"amplify_v","non-obsolete words",624,12,15,5
"amplitude-modulate_v","non-obsolete words",86,1,1,3
"ampoule_v","non-obsolete words",78,1,1,2
"ampster_v","non-obsolete words",83,1,1,0
"amputate_v","non-obsolete words",386,2,2,4
"amscray_v","non-obsolete words",93,1,1,1
"amuse_v","non-obsolete words",544,13,19,6
"anabaptize_v","non-obsolete words",427,2,2,1
"anachronize_v","non-obsolete words",256,2,2,2
"anaesthetize_v","non-obsolete words",176,1,1,4
"anagram_v","non-obsolete words",402,2,2,3
"anagramize_v","non-obsolete words",388,1,1,0
"anagrammatize_v","non-obsolete words",431,1,1,2
"analogize_v","non-obsolete words",378,4,4,4
"analyse_v","non-obsolete words",437,10,10,6
"anamorphose_v","non-obsolete words",148,1,1,2
"anarchize_v","non-obsolete words",237,1,1,2
"anastomose_v","non-obsolete words",327,2,2,4
"anathemate_v","non-obsolete words",409,1,1,2
"anathematize_v","non-obsolete words",551,2,2,4
"anathemize_v","non-obsolete words",439,1,1,2
