"word","stateWD","lifespan","nsense","nchange"
"apoplex_v","non-obsolete words",420,1,1
"apostasize_v","non-obsolete words",328,1,1
"apostatize_v","non-obsolete words",413,4,5
"apostil_v","non-obsolete words",387,1,1
"apostolize_v","non-obsolete words",372,2,2
"apostrophize_v","non-obsolete words",413,3,3
"apotheose_v","non-obsolete words",392,1,1
"apotheosize_v","non-obsolete words",329,1,1
"appal_v","non-obsolete words",709,10,18
"apparel_v","non-obsolete words",774,10,17
"apparition_v","non-obsolete words",148,1,1
"appeal_v","non-obsolete words",694,14,18
"appear_v","non-obsolete words",774,14,15
"appease_v","non-obsolete words",694,11,14
"appellate_v","non-obsolete words",256,1,1
"append_v2","non-obsolete words",378,3,3
"appendix_v","non-obsolete words",267,1,1
"apperceive_v","non-obsolete words",724,3,5
"appertain_v","non-obsolete words",638,8,11
"applaud_v","non-obsolete words",484,6,8
"apple_v","non-obsolete words",423,2,2
"applicate_v","non-obsolete words",599,1,1
"applique_v2","non-obsolete words",157,1,1
"applot_v","non-obsolete words",391,1,1
"apply_v","non-obsolete words",640,39,54
"appoint_v","non-obsolete words",650,23,32
"apportion_v","non-obsolete words",496,3,3
"appose_v2","non-obsolete words",431,2,2
"appraise_v","non-obsolete words",600,5,5
"appreciate_v","non-obsolete words",512,8,8
"apprehend_v","non-obsolete words",626,16,22
"apprentice_v","non-obsolete words",393,1,1
"appress_v","non-obsolete words",235,1,1
"apprise_v1","non-obsolete words",330,4,4
"apprize_v2","non-obsolete words",624,2,2
"approach_v","non-obsolete words",719,17,18
"approbate_v","non-obsolete words",554,2,2
"approfound_v","non-obsolete words",139,1,1
"appropinquate_v","non-obsolete words",401,2,3
"appropriate_v","non-obsolete words",491,9,12
"approve_v1","non-obsolete words",684,17,26
"approve_v2","non-obsolete words",541,1,1
"approximate_v","non-obsolete words",353,3,3
"appui_v","non-obsolete words",368,1,1
"apricate_v","non-obsolete words",333,2,2
"april-fool_v","non-obsolete words",201,1,1
"apron_v","non-obsolete words",159,1,1
"apron-string_v","non-obsolete words",112,1,1
"aqualung_v","non-obsolete words",63,1,1
"aquatint_v","non-obsolete words",205,1,1
"arabesque_v","non-obsolete words",175,1,1
"arabianize_v","non-obsolete words",143,1,1
"arabicize_v","non-obsolete words",198,1,1
"arabize_v","non-obsolete words",425,3,4
"aramaize_v","non-obsolete words",156,1,1
"arbitrage_v","non-obsolete words",101,1,1
"arbitrate_v","non-obsolete words",434,5,5
"arboresce_v","non-obsolete words",220,1,1
"arborize_v","non-obsolete words",177,2,2
"arc_v","non-obsolete words",131,2,2
"arcade_v","non-obsolete words",163,1,1
"arch_v1","non-obsolete words",561,6,7
"arch_v2","non-obsolete words",153,1,1
"archaeologize_v","non-obsolete words",241,2,2
"archaize_v","non-obsolete words",118,1,1
"archbishop_v","non-obsolete words",332,1,1
"archie_v","non-obsolete words",109,1,1
"architect_v","non-obsolete words",206,1,1
"architecturalize_v","non-obsolete words",146,1,1
"architecture_v","non-obsolete words",186,1,1
"archive_v","non-obsolete words",90,1,1
"arcticize_v","non-obsolete words",133,1,1
"arcuate_v","non-obsolete words",346,1,1
